Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.0091918,-0.00047008,-0.016078,0,0,0,0.2437,9.5353E-05,-3.5005E-08,-9.1096E-06,6.6853E-05,7.5168E-07,9.5174E-05,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/Body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/Body.STL,,Upgraded_Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_ARM_1,-1.41270283091089E-09,0.00456865100998955,0.00915593369616417,0,0,0,0.0042561997534057,4.75526787509663E-07,-5.17770577555126E-14,-2.75755836924939E-14,1.10650237204247E-06,-1.26621947092055E-07,1.10384151673514E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_ARM_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_ARM_1.STL,,R_arm_01-1,Origin_JOINT_1,Axis_JOINT_1,JOINT_1,continuous,0,0,-0.038998,-3.1416,0,-3.1416,Body,0,0,1,,,,,,,,,,,,
R_ARM_2,-5.46980825606703E-05,0.0120458330772934,0.00097049234653049,0,0,0,0.0230012005288787,3.19855855058083E-06,-6.2294589265436E-08,2.12827266525489E-13,2.79006394276285E-06,2.84313451256825E-07,4.1527174201124E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_ARM_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_ARM_2.STL,,R_arm_02-1,Origin_JOINT_3,Axis_JOINT_3,JOINT_3,continuous,0,0.012,0.018002,1.5708,0,0,R_ARM_1,1,0,0,,,,,,,,,,,,
R_ARM_3,0.00017860925519204,0.019998592601371,0.0012870653720527,0,0,0,0.0261581629564249,2.36571031389844E-06,-5.5645222058886E-08,2.36320882971384E-13,1.96473201193679E-06,1.32989095115652E-08,2.73594377881704E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_ARM_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_ARM_3.STL,,R_arm_03-1,Origin_JOINT_5,Axis_JOINT_5,JOINT_5,continuous,0,0.045,0,0,0,0,R_ARM_2,1,0,0,,,,,,,,,,,,
L_ARM_1,-1.41270208260944E-09,0.00456865100998909,0.00915593369616431,0,0,0,0.00425619975340609,4.75526787509678E-07,-5.17770412284393E-14,-2.75755877226572E-14,1.1065023720425E-06,-1.26621947092053E-07,1.10384151673518E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/L_ARM_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/L_ARM_1.STL,,L_arm_01-1,Origin_JOINT_2,Axis_JOINT_2,JOINT_2,continuous,0,0,0.038998,0,0,0,Body,0,0,1,,,,,,,,,,,,
L_ARM_2,5.46978612398653E-05,0.0120458330772935,0.000970490232161888,0,0,0,0.0230012005288788,3.19855855058084E-06,6.22944868971599E-08,2.12827267566888E-13,2.79006394276285E-06,2.84312896323333E-07,4.15271742011241E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/L_ARM_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/L_ARM_2.STL,,L_arm_02-1,Origin_JOINT_4,Axis_JOINT_4,JOINT_4,continuous,0,0.012,0.018002,1.5708,0,0,L_ARM_1,1,0,0,,,,,,,,,,,,
L_ARM_3,-0.000178609255192013,0.0199985926013709,0.00128706351286216,0,0,0,0.026158162956425,2.36571031389844E-06,5.56452220588877E-08,2.36320882687753E-13,1.96473201193679E-06,1.32983545780728E-08,2.73594377881704E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/L_ARM_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/L_ARM_3.STL,,L_arm_03-1,Origin_JOINT_6,Axis_JOINT_6,JOINT_6,continuous,0,0.045,0,0,0,0,L_ARM_2,1,0,0,,,,,,,,,,,,
R_LEG_1,-0.00122067250788752,6.32144396902727E-05,0.0135315848690105,0,0,0,0.0199023992993582,1.60303748122172E-06,-6.22945380812975E-08,2.77466746785823E-13,2.15851329852161E-06,2.36320882509393E-13,2.4687856445552E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_LEG_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_LEG_1.STL,,R_Leg_01-2,Origin_JOINT_7,Axis_JOINT_7,JOINT_7,continuous,0,0.072,-0.024,1.5708,0,1.5708,Body,0,0,1,,,,,,,,,,,,
R_LEG_2,0.0329541669028194,3.44330516718373E-05,0.000971421032520396,0,0,0,0.0230012005288788,2.79006395445455E-06,-5.63476714674394E-08,-2.85551014557258E-07,3.19897408156339E-06,-1.99075350695764E-08,4.15230187743816E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_LEG_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_LEG_2.STL,,R_Leg_02-2,Origin_JOINT_9,Axis_JOINT_9,JOINT_9,continuous,0.006,0,0.015,-0.02087,0,0,R_LEG_1,0,0.99978,0.020869,,,,,,,,,,,,
R_LEG_3,0.017899745166101,5.03561475850844E-09,0.00688303209754427,0,0,0,0.00898936103979292,2.97044041191103E-06,-3.9180621018994E-13,4.51182757180514E-07,3.47626399724035E-06,-2.88931236036204E-13,4.72558607476253E-06,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_LEG_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UPGRADE_MINI_CAD/meshes/R_LEG_3.STL,,R_Leg_03-2,Origin_JOINT_11,Axis_JOINT_11,JOINT_11,continuous,0.045,0,0,0.02087,0,0,R_LEG_2,0,1,0,,,,,,,,,,,,
